Breed,Personalities,Size,Lifestyle,Housing,Climate
Affenpinscher,"Loyal, curious, funny",Small,Moderate,Apartment,Moderate
Afghan Hound,"independent, affectionate, loyal",Large,Active,Apartment,Either
Airedale Terrier,"Intelligent, confident, friendly, courageous",Medium,Active,Patio,Moderate
Akita,"Dignified, courageous, loyal",Large,Active,Patio,Cold
Alaskan Malamute,"Affectionate, loyal, playful, dignified",Large,Active,Patio,Cold
American English Coonhound,"Affectionate, easygoing, friendly",Large,Active,Patio,Either
American Eskimo Dog,"Playful, energetic, intelligent",Small,Active,Apartment,Cold
American Foxhound,"Affectionate, easygoing, independent",Large,Active,Patio,Either
American Water Spaniel,"Easygoing, eager, affectionate",Medium,Active,Patio,Hot
Anatolian Shepherd Dog,"Easygoing, alert, loyal, intelligent, protective",Large,Active,Patio,Either
Australian Cattle Dog,"Alert, curious, affectionate",Medium,Active,Patio,Either
Australian Shepherd,"Intellligent, diligent, easygoing",Medium,Active,Patio,Either
Austrialian Terrier,"Courageous, energetic, intelligent",Small,Active,Apartment,Hot
Barbet,"Obedient, Agile",Medium,Moderate,Either,Either
Basenji,"intelligent, independent, affectionate, alert",Small,Active,Apartment,Hot
Basset Hound,Easygoing,Medium,Sedentary,Apartment,Moderate
Beagle,"Affectionate, easygoing, friendly",Small,Active,Apartment,Hot
Beaeded Collie,"Energetic, friendly, intelligent, independent",Medium,Active,Either,Cold
Bedlington Terrier,"Playful, affectionate, loyal",Small,Active,Apartment,Cold
Belgian Malinois,"Intelligent, confident, diligent, loyal",Medium,Active,Patio,Both
Belgian Tervuren,"Intelligent, confident, obedient, affectionate, protective",Medium,Active,Either,Cold
Bernese Mountain Dog,"Friendly, easygoing",Large,Moderate,Patio,Cold
Bichon Frise,"Playful, curious, energetice",Small,Moderate,Apartment,Hot
Black and Tan Coonhound,"Easygoing, friendly, intelligent, tough, courageous",Medium,Active,Patio,Either
Bloodhound,"Curious, independent, friendly, affectionate, easygoing",Large,Active,Patio,Moderate
Bluetick Coonhound,"Intelligent, affectionate, courageous, tenacious",Large,Active,Patio,Moderate
Border Collie,"Remarkable, intelligent, diligent",Medium,Active,Apartment,Either
Border Terrier,"Courageous, easygoing, affectionate",Small,Active,Apartment,Cold
Boston Terrier,"Friendly, intelligent, funny",Small,Active,Apartment,Moderate
Bouvier des Flandres,"Tenacious, easygoing, courageous, affectionate,",Large,Active,Either,Cold
Boxer,"Playful, intelligent, energetic, loyal",Large,Active,Apartment,Moderate
Boykin Spaniel,"Friendly, eager, obedient, affectionate",Medium,Active,Patio,Hot
Briard,"Intelligent, confident, loyal, easygoing",Large,Active,Either,Cold
Brittany,"Intelligent, energetic, playful, eager",Medium,Active,Patio,Cold
Bull Terrier (Standard),"Playful, affectionate, playful, loyal",Large,Active,Apartment,Hot
Bulldog,"Easygoing, courageous, friendly, dignified, funny",Medium,Moderate,Apartment,Moderate
Bullmastiff,"Courageous, affectionate, loyal, dependable",Large,Moderate,Either,Cold
Cairn Terrier,"Easygoing, alert, dilgent, independent",Small,Active,Apartment,Either
Cane Corso,"Intelligent, obedient, noble, confident, protective",Large,Active,Patio,Hot
Cardigan Welsh Corgi,"Loyal, affectionate, intelligent, easygoing, friendly, playful",Medium,Active,Apartment,Cold
Cavalier King Charles Spaniel,"Affectionate, noble, gentle",Small,Active,Apartment,Moderate
Chesapeake Bay Retriever,"Intelligent, watchful, perceptive, affectionate",Large,Active,Patio,Either
Chihuahua (Long hair),"Noble, affectionate, sassy",Small,Sedentary,Apartment,Moderate
Chinese Crested,"Energetic, alert, affectionate",Small,Sedentary,Apartment,Moderate
Chinese Shar-Pei,"Tenacious, loyal",Large,Moderate,Apartment,Moderate
Chinook,"Patient, intelligent, loyal",Large,Sedentary,Apartment,Either
Chow Chow,"Dignified, bright",Large,Sedentary,Either,Cold
Clumber Spaniel,"Easygoing, noble, friendly, dignified, funny",Large,Sedentary,Apartment,Cold
Cocker Spaniel (American),"Easygoing, intelligent, gentle",Medium,Moderate,Apartment,Cold
Collie (Smooth),"Noble, loyal, confident",Medium,Moderate,Either,Cold
Coton De Tulear,"Intelligent, easygoing, affectionate, friendly",Small,Moderate,Apartment,Moderate
Dachshund (smooth),"Courageous, curious, friendly",Small,Moderate,Apartment,Moderate
Dalmatian,"Dignified, agile, friendly",Medium,Active,Patio,Hot
Doberman Pinscher,"Alert, courageous, loyal, obedient",Large,Moderate,Either,Hot
English Setter,"Friendly, easygong, playful",Large,Active,Patio,Cold
English Springer Spaniel,"Friendly, playful, obedient, diligent, tenacious",Medium,Active,Patio,Hot
English Toy Spaniel,"Affectionate, alert, playful",Small,Sedentary,Apartment,Moderate
Field Spaniel,"Easygoing, watchful, playful, intelligent",Medium,Active,Patio,Hot
Finnish Lapphund,"Easygoing, friendly, obedient, courageous",Medium,Active,Apartment,Cold
Finnish Spitz,"Eager, courageous, friendly, loyal",Medium,Active,Either,Cold
Flat Coat Retriever,"Easygoing, confident, intelligent, energetic",Large,Active,Patio,Either
French Bulldog,"Playful, smart, affectionate",Small,Sedentary,Apartment,Moderate
German Pinscher,"Intelligent, tenacious, loyal, playful, energetic, protective",Medium,Active,Either,Hot
German Shepherd Dog,"Intelligent, confident, courageous, tenacious",Large,Active,Either,Cold
German Shorthaired Pointer,"Friendly, smart, obedient",Large,Active,Patio,Hot
Giant Schnauzer,"Loyal, alert, obedient",Large,Active,Patio,Cold
Glen of Imaal Terrier,"Gentle, energetic, courageous, eager",Medium,Active,Apartment,Hot
Golden Retriever,"Intelligent, friendly, loyal",Large,Active,Patio,Moderate
Gordon Setter,"Courageous, confident, tenacious",Medium,Active,Patio,Cold
Great Dane,"Friendly, patient, dependable",Large,Active,Patio,Moderate
Great Pyrenees,"Easygoing, patient, intelligent, tenacious",Large,Active,Patio,Cold
Greyhound,"Independent, gentle, noble",Large,Active,Apartment,Hot
Harrier,"Outgoing, friendly",Medium,Active,Patio,Hot
Havanese,"Outgoing, funny, intelligent",Small,Moderate,Apartment,Hot
Irish Setter,"Outgoing, friendly, energetic, obedient",Large,Active,Patio,Either
Irish Terrier,"Courageous, tenacious, dignified",Medium,Active,Either,Cold
Irish Wolfhound,"Easygoing, dignified, friendly",Large,Active,Patio,Cold
Italian Greyhound,"Watchful, alert, playful, affectionate",Small,Active,Apartment,Moderate
Japanese Chin,Affectionate,Small,Sedentary,Apartment,Moderate
Keeshond,"Outgoing, energetic, friendly",Medium,Moderate,Apartment,Cold
Komondor,"Dignified, courageous, protective, loyal",Large,Active,Patio,Cold
Labrador Retriever,"Friendly, outgoing",Large,Active,Patio,Moderate
Leonberger,"Intelligent, patient, affectionate",Large,Active,Patio,Cold
Maltese,"Gentle, playful, affectionate",Small,Sedentary,Apartment,Moderate
Miniature Pinscher,"Confident, courageous, playful",Small,Active,Apartment,Moderate
Miniature Schnauzer,"Friendly, smart, obedient",Small,Active,Apartment,Either
Newfoundland,"Easygoing, patient, loyal, friendly",Large,Moderate,Patio,Cold
Norfolk Terrier,"Alert, courageous, playful, friendly",Small,Active,Apartment,Either
Norwich Terrier,"Alert, curious, affectionate, gregarious, loyal",Small,Active,Apartment,Either
Nova Scotia Duck Tolling Retriever,"Intelligent, outgoing, diligent, affectionate, eager",Medium,Active,Apartment,Either
Olde English Sheepdog,"Obedient, intelligent, gentle, easygoing",Large,Active,Apartment,Cold
Otterhound,"Gregarious, affectionate, cheerful",Large,Active,Patio,Cold
Papillon,"Happy, alert, friendly",Small,Active,Apartment,Hot
Pekingese,"Affectionate, loyal, regal",Small,Sedentary,Apartment,Cold
Pembroke Welsh Corgi,"Smart, alert, affectionate, bold, kindly",Small,Active,Apartment,Cold
Pharaoh Hound,"Smart, alert, noble, friendly, affectionate",Medium,Active,Apartment,Hot
Plott,"Sweet, gentle, fearless, implacable, bold",Large,Active,Patio,Hot
Pointer (English),"Even-tempered, alert, hardworking, loyal, hunter",Large,Active,Patio,Hot
Pomeranian,"Lively, bold, inquisitive",Small,Sedentary,Apartment,Cold
Poodle (Standard),"Proud, active, smart",Medium,Active,Apartment,Hot
Portugese Water Dog,"Affectionate, athletic, adventurous",Medium,Active,Apartment,Cold
Pug,"Even-tempered, charming, mischievous, loving",Small,Moderate,Apartment,Moderate
Puli,"Loyal, smart, home-loving, strong-willed, trainable",Small,Active,Apartment,Cold
Rat Terrier,"Friendly, lovable, inquisitive",Small,Active,Apartment,Hot
Redbone Coonhound,"Even-tempered, amiable, kind, tiger",Medium,Active,Apartment,Moderate
Rhodesian Ridgeback,"Dignified, even tempered, affectionate",Large,Active,Apartment,Moderate
Rottweiler,"Affectionate, loyal",Large,Active,Patio,Moderate
Saluki,"Gentle, dignified, loyal, independent-minded",Medium,Active,Patio,Moderate
Samoyed,"Gentle, adaptable, eager, friendly, conservative, never shy",Medium,Active,Patio,Cold
Schipperke,"Alert, curious, confident, intense, mischievious, impudent",,Active,Apartment,Moderate
Scottish Deerhound,"Dignified, gentle, polite, smart, perceptive",Large,Active,Patio,Either
Scottish Terrier,"Independent, confident, never shy, spirited, dignified",Small,Active,Apartment,Cold
Shetland Sheepdog (Sheltie),"Bright, playful, energetic",Medium,Active,Patio,Cold
Shiba Inu,"Alert, active, attentive",Small,Moderate,Apartment,Cold
Shih Tzu,"Outgoing, affectionate, playful, charming",Small,Sedentary,Apartment,Moderate
Siberian Husky,"Friendly, gentle, dignified, alert",Medium,Active,Patio,Cold
Soft Coated Wheaten Terrier,"Easygoing, friendly, loyal",Medium,Active,Apartment,Moderate
Saint Bernard,"Friendly, patient, outgoing, nanny",Large,Sedentary,Either,Cold
Staffordshire Bull Terrier,"Courageous, tenacious, gentle, playful, intelligent",Medium,Active,Either,Moderate
Standard Schnauzer,"Intelligent, courageous, obedient, energetic, dependable",Medium,Active,Apartment,Either
Swedish Vallhund ,"Friendly, easygoing, alert, smart",Small,Active,Patio,Cold
Tibetan Mastiff,"Easygoing, loyal",Large,Sedentary,Patio,Cold
Tibetan Spaniel,"Confident, intellligent, affectionate, playful",Small,Active,Apartment,Moderate
Tibetan Terrier,"Affectionate, watchful, intelligent, gregarious",Small,Active,Apartment,Either
Toy Fox Terrier,"Outgoing, friendly, loyal",Small,Active,Apartment,Moderate
Treeing Walker Coonhound,"Intelligent, courageous, sensible, noble",Medium,Active,Patio,Moderate
Vizsla,"Gentle, affectionate, energetic, eager",Medium,Active,Patio,Hot
Weimaraner,"Friendly, courageous, alert, obedient",Large,Active,Patio,Hot
Welsh Springer Spaniel,"Happy, energetic",Medium,Active,Apartment,Either
Welsh Terrier,"Alert, energetic",Small,Active,Either,Moderate
West Highland White Terrier,"Easygoing, intelligent, loyal, funny",Small,Active,Apartment,Cold
Whippet,"Easygoing, affectionate, playful",Small,Active,Apartment,Hot
Wirehaired Pointing Griffon,"Outgoing, eager, intellligent, dependable",Large,Active,Patio,Cold
Xoloitzcuintli,"Loyal, alert, easygoing, obedient",Small,Moderate,Apartment,Moderate
Yorkshire Terrier,"Energetic, affectionate",Small,Active,Apartment,Moderate